,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
263,31-50,Male,,5-10yr,,Office areas,Y Shape,1,Male,No distancing,Serious Injury
264,Over 51,Male,Junior high school,5-10yr,,Other,Y Shape,1,na,Driving carelessly,Serious Injury
265,Under 18,Male,High school,2-5yr,,Other,Crossing,1,Male,No distancing,Slight Injury
266,18-30,Male,Above high school,5-10yr,No defect,Other,Crossing,1,Male,Changing lane to the left,Slight Injury
267,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,No priority to pedestrian,Slight Injury
268,18-30,Unknown,Junior high school,Below 1yr,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
269,18-30,Male,Elementary school,5-10yr,,Office areas,Y Shape,1,Male,No distancing,Slight Injury
270,18-30,Male,Elementary school,2-5yr,,Office areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
271,31-50,Male,Junior high school,2-5yr,,Office areas,No junction,1,na,No distancing,Slight Injury
272,31-50,Unknown,Junior high school,1-2yr,,Office areas,Y Shape,2,Male,Changing lane to the left,Slight Injury
273,18-30,Male,Junior high school,2-5yr,,Office areas,Y Shape,2,na,No distancing,Slight Injury
274,18-30,Male,Junior high school,2-5yr,,Office areas,Crossing,2,Female,No distancing,Slight Injury
275,Over 51,Male,Junior high school,Above 10yr,,Other,Crossing,2,Female,No distancing,Slight Injury
276,Over 51,Male,High school,Below 1yr,No defect,Other,Crossing,2,Male,Changing lane to the left,Slight Injury
277,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Crossing,1,Male,Changing lane to the right,Slight Injury
278,18-30,Male,High school,Above 10yr,No defect,Other,Crossing,1,na,Moving Backward,Slight Injury
279,31-50,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
280,Under 18,Male,High school,5-10yr,No defect,Other,No junction,1,na,No distancing,Slight Injury
281,31-50,Male,Junior high school,Above 10yr,,Other,Y Shape,2,Male,Overtaking,Serious Injury
282,31-50,Male,Junior high school,1-2yr,, Industrial areas,Y Shape,2,na,Other,Serious Injury
283,31-50,Male,Junior high school,2-5yr,, Industrial areas,Y Shape,2,na,Other,Serious Injury
284,Over 51,Male,Elementary school,2-5yr,No defect, Church areas,Crossing,2,Male,Changing lane to the right,Serious Injury
285,Under 18,Male,Elementary school,5-10yr,No defect,Other,Crossing,2,Male,No priority to pedestrian,Serious Injury
286,18-30,Male,Junior high school,5-10yr,,Other,Y Shape,1,na,No priority to vehicle,Slight Injury
287,31-50,Male,High school,5-10yr,No defect,Office areas,Y Shape,1,na,Changing lane to the left,Slight Injury
288,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Male,Changing lane to the left,Slight Injury
289,18-30,Male,Junior high school,Below 1yr,,Residential areas,Crossing,1,na,Overtaking,Slight Injury
290,18-30,Male,Junior high school,Below 1yr,No defect, Industrial areas,Crossing,1,Male,No distancing,Slight Injury
291,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,na,No priority to vehicle,Slight Injury
292,31-50,Male,High school,5-10yr,No defect,Other,No junction,1,Male,Changing lane to the right,Slight Injury
293,18-30,Male,Elementary school,5-10yr,,Other,Unknown,1,na,Changing lane to the left,Slight Injury
294,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,No junction,2,Female,No distancing,Slight Injury
295,31-50,Male,Junior high school,2-5yr,,Office areas,No junction,2,na,Driving carelessly,Slight Injury
296,31-50,Male,Above high school,5-10yr,,Residential areas,No junction,2,Male,No priority to pedestrian,Slight Injury
297,31-50,Male,Junior high school,2-5yr,,Office areas,No junction,2,na,Driving carelessly,Slight Injury
298,18-30,Male,,,, Church areas,Y Shape,1,Female,Moving Backward,Slight Injury
299,18-30,Male,Junior high school,2-5yr,,Residential areas,Y Shape,1,Female,No distancing,Slight Injury
300,18-30,Male,Junior high school,5-10yr,,School areas,Y Shape,1,na,No distancing,Slight Injury
301,31-50,Female,Junior high school,2-5yr,, Hospital areas,Y Shape,1,na,No distancing,Slight Injury
302,18-30,Male,Elementary school,1-2yr,,Other,Y Shape,2,Male,Changing lane to the left,Slight Injury
303,Over 51,Unknown,High school,,,School areas,Y Shape,2,Female,Changing lane to the left,Slight Injury
304,31-50,Male,Junior high school,1-2yr,No defect,Other,Y Shape,2,Male,Moving Backward,Slight Injury
305,18-30,Male,Junior high school,2-5yr,, Industrial areas,Other,2,na,Changing lane to the right,Slight Injury
306,31-50,Male,Junior high school,1-2yr,No defect, Church areas,Other,2,Male,No priority to vehicle,Slight Injury
307,Unknown,Female,Elementary school,Above 10yr,No defect,Office areas,Y Shape,2,na,Moving Backward,Slight Injury
308,Over 51,Male,Junior high school,2-5yr,No defect,Other,Y Shape,2,Female,Driving carelessly,Slight Injury
309,31-50,Unknown,Junior high school,2-5yr,No defect,Office areas,Y Shape,2,Female,Driving carelessly,Slight Injury
310,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,2,na,Driving under the influence of drugs,Slight Injury
311,Over 51,Male,Junior high school,2-5yr,No defect,Office areas,Crossing,2,Female,No priority to pedestrian,Slight Injury
312,Over 51,Male,Elementary school,2-5yr,No defect,Residential areas,Crossing,2,na,No priority to vehicle,Slight Injury
313,18-30,Male,Junior high school,2-5yr,No defect,Office areas,Crossing,2,Male,Driving carelessly,Slight Injury
314,18-30,Male,Elementary school,5-10yr,,Other,Crossing,2,na,Moving Backward,Slight Injury
315,31-50,Male,Elementary school,2-5yr,, Industrial areas,No junction,1,Male,Driving carelessly,Slight Injury
316,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Female,No priority to vehicle,Slight Injury
317,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,2,na,Changing lane to the right,Slight Injury
318,31-50,Male,High school,Above 10yr,,Office areas,No junction,2,Male,Changing lane to the left,Slight Injury
319,Over 51,Male,Junior high school,5-10yr,No defect,,No junction,6,Female,No priority to vehicle,Slight Injury
320,Over 51,Male,Junior high school,2-5yr,,Other,No junction,6,na,Driving carelessly,Slight Injury
321,Over 51,Male,Elementary school,1-2yr,,Office areas,No junction,6,Male,Moving Backward,Slight Injury
322,Over 51,Male,Junior high school,2-5yr,No defect,Office areas,No junction,6,Male,No distancing,Slight Injury
323,Over 51,Male,Junior high school,5-10yr,,Office areas,No junction,6,Male,Changing lane to the left,Slight Injury
324,31-50,Male,,,,Other,No junction,6,Male,Changing lane to the left,Slight Injury
325,Over 51,Unknown,Elementary school,5-10yr,No defect,Other,Crossing,2,Female,No distancing,Slight Injury
326,18-30,Male,High school,Above 10yr,No defect,  Recreational areas,Crossing,2,Female,Changing lane to the left,Slight Injury
327,Unknown,Female,Junior high school,Above 10yr,No defect, Church areas,Crossing,2,Male,Driving carelessly,Slight Injury
328,Unknown,Female,Junior high school,1-2yr,No defect,  Recreational areas,Crossing,2,na,Changing lane to the left,Slight Injury
329,Under 18,Male,High school,,No defect,School areas,No junction,1,na,No distancing,Slight Injury
330,18-30,Male,Junior high school,2-5yr,No defect, Church areas,No junction,1,Male,Changing lane to the right,Slight Injury
331,18-30,Male,Junior high school,5-10yr,,Office areas,Y Shape,1,na,No distancing,Slight Injury
332,18-30,Male,Junior high school,2-5yr,,Residential areas,Y Shape,1,Male,Driving to the left,Slight Injury
333,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Female,No distancing,Slight Injury
334,Over 51,Male,Elementary school,5-10yr,No defect,Other,Y Shape,2,na,Overtaking,Slight Injury
335,31-50,Male,Junior high school,5-10yr,No defect, Industrial areas,Y Shape,2,Male,Driving under the influence of drugs,Slight Injury
336,31-50,Male,Above high school,1-2yr,No defect, Church areas,Y Shape,2,na,No priority to pedestrian,Slight Injury
337,Over 51,Male,Elementary school,Above 10yr,No defect,Office areas,Y Shape,3,Female,Moving Backward,Slight Injury
338,Over 51,Male,Elementary school,5-10yr,No defect,Office areas,Y Shape,3,Male,Changing lane to the right,Slight Injury
339,31-50,Male,Elementary school,2-5yr,,Office areas,Y Shape,3,Male,Changing lane to the left,Slight Injury
340,18-30,Male,Elementary school,2-5yr,,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
341,31-50,Male,Junior high school,5-10yr,,Office areas,Y Shape,1,Female,Driving under the influence of drugs,Slight Injury
342,18-30,Unknown,Junior high school,1-2yr,No defect,Other,Y Shape,1,na,No priority to vehicle,Slight Injury
343,18-30,Male,Junior high school,5-10yr,No defect, Industrial areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
344,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,na,Changing lane to the left,Slight Injury
345,31-50,Male,Above high school,5-10yr,No defect,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
346,18-30,Male,Junior high school,Above 10yr,,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
347,18-30,Male,Elementary school,2-5yr,No defect,Other,Y Shape,1,na,Changing lane to the left,Slight Injury
348,18-30,Male,Junior high school,5-10yr,,Other,Y Shape,1,Female,Changing lane to the left,Slight Injury
349,31-50,Male,,,,Other,Y Shape,1,na,Getting off the vehicle improperly,Slight Injury
350,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,na,Overtaking,Slight Injury
351,18-30,Male,Junior high school,,No defect,Office areas,Y Shape,1,Male,Changing lane to the left,Slight Injury
352,31-50,Unknown,Junior high school,,,Office areas,Y Shape,1,na,Driving under the influence of drugs,Slight Injury
353,Unknown,Female,Junior high school,1-2yr,No defect,Other,Crossing,1,Male,Driving carelessly,Serious Injury
354,18-30,Male,Above high school,5-10yr,No defect,Other,Crossing,1,Male,Moving Backward,Serious Injury
355,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
356,31-50,Male,Junior high school,5-10yr,,Office areas,Crossing,1,na,No priority to vehicle,Slight Injury
357,18-30,Male,High school,2-5yr,No defect,Other,Y Shape,2,Male,Overturning,Slight Injury
358,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,2,na,Changing lane to the left,Slight Injury
359,18-30,Unknown,Junior high school,Below 1yr,,Residential areas,Y Shape,2,Male,No distancing,Slight Injury
360,31-50,Male,Junior high school,Below 1yr,No defect,Other,No junction,3,Male,Moving Backward,Slight Injury
361,31-50,Male,,,No defect,Office areas,No junction,3,Male,No priority to vehicle,Slight Injury
362,31-50,Male,Junior high school,2-5yr,No defect,Office areas,No junction,3,na,No priority to vehicle,Slight Injury
363,Unknown,Female,,,,Other,No junction,3,Male,No distancing,Slight Injury
364,Unknown,Female,Elementary school,No Licence,,Other,No junction,3,Male,No distancing,Slight Injury
365,18-30,Male,Junior high school,Above 10yr,,Other,No junction,2,Female,Overtaking,Slight Injury
366,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,2,Male,Driving under the influence of drugs,Slight Injury
367,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,2,Female,Changing lane to the right,Slight Injury
368,31-50,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Male,Changing lane to the left,Slight Injury
369,31-50,Unknown,Junior high school,5-10yr,No defect, Church areas,No junction,1,na,Driving carelessly,Slight Injury
370,31-50,Male,Junior high school,Below 1yr,No defect, Industrial areas,No junction,1,Male,Moving Backward,Slight Injury
371,31-50,Male,Junior high school,2-5yr,,Other,Crossing,2,Female,Moving Backward,Slight Injury
372,31-50,Male,Junior high school,,No defect,Other,Crossing,2,na,Changing lane to the right,Slight Injury
373,31-50,Male,Above high school,1-2yr,,Office areas,Crossing,2,Male,No priority to vehicle,Slight Injury
374,31-50,Male,Junior high school,1-2yr,No defect,Other,Crossing,1,na,Driving at high speed,Slight Injury
375,31-50,Male,Junior high school,1-2yr,No defect,  Recreational areas,Crossing,1,Male,Driving under the influence of drugs,Slight Injury
376,31-50,Male,Unknown,5-10yr,No defect,Other,No junction,1,Male,Changing lane to the right,Serious Injury
377,18-30,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,1,Female,Driving carelessly,Slight Injury
378,18-30,Male,Junior high school,Above 10yr,,Residential areas,No junction,3,Female,No distancing,Slight Injury
379,18-30,Male,Junior high school,5-10yr,No defect,Office areas,No junction,3,Male,Changing lane to the left,Slight Injury
380,31-50,Male,Junior high school,2-5yr,No defect,Other,No junction,3,Female,No distancing,Slight Injury
381,Over 51,Male,Junior high school,Below 1yr,,Office areas,No junction,3,Female,No distancing,Slight Injury
382,31-50,Male,Junior high school,1-2yr,,Office areas,No junction,1,na,Getting off the vehicle improperly,Slight Injury
383,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,1,na,Overtaking,Slight Injury
384,18-30,Male,Junior high school,Below 1yr,No defect,Residential areas,Y Shape,1,Female,Driving carelessly,Slight Injury
385,18-30,Male,Elementary school,5-10yr,No defect,  Recreational areas,Y Shape,1,na,Driving under the influence of drugs,Slight Injury
386,18-30,Male,Junior high school,2-5yr,No defect, Church areas,Y Shape,4,Female,Moving Backward,Serious Injury
387,18-30,Male,Junior high school,5-10yr,No defect,Other,Y Shape,4,na,Overturning,Serious Injury
388,Over 51,Unknown,Elementary school,5-10yr,No defect,Other,Y Shape,4,Male,Driving under the influence of drugs,Serious Injury
389,Over 51,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,4,na,Changing lane to the right,Serious Injury
390,18-30,Male,Junior high school,1-2yr,No defect,Residential areas,Crossing,1,Male,Changing lane to the left,Slight Injury
391,31-50,Male,High school,Below 1yr,No defect,School areas,No junction,1,Male,No distancing,Serious Injury
392,18-30,Male,Elementary school,Above 10yr,No defect, Church areas,Crossing,1,Female,No distancing,Slight Injury
393,18-30,Male,High school,1-2yr,No defect,Other,Crossing,1,Female,No priority to vehicle,Slight Injury
394,18-30,Male,Junior high school,2-5yr,,Other,Y Shape,1,Male,Moving Backward,Slight Injury
395,31-50,Male,,5-10yr,,Office areas,Y Shape,1,Male,Moving Backward,Slight Injury
396,18-30,Male,High school,2-5yr,,Office areas,Y Shape,1,Male,Getting off the vehicle improperly,Slight Injury
397,31-50,Male,High school,Above 10yr,No defect,Other,Y Shape,1,Male,Changing lane to the left,Slight Injury
398,18-30,Male,Junior high school,1-2yr,No defect, Hospital areas,Y Shape,1,Male,Changing lane to the left,Serious Injury
399,31-50,Male,Elementary school,1-2yr,,Other,Y Shape,1,Female,No priority to vehicle,Slight Injury
400,18-30,Male,High school,1-2yr,,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
401,Over 51,Male,Above high school,5-10yr,,Other,Other,1,Male,Changing lane to the right,Slight Injury
402,Over 51,Male,,,,Other,Y Shape,1,na,Driving carelessly,Serious Injury
403,Over 51,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,Male,Changing lane to the left,Serious Injury
404,31-50,Unknown,Elementary school,5-10yr,No defect, Hospital areas,Y Shape,2,na,Changing lane to the right,Slight Injury
405,31-50,Male,Elementary school,5-10yr,No defect,Other,Y Shape,2,Male,Driving under the influence of drugs,Slight Injury
406,18-30,Male,High school,5-10yr,No defect,Other,Y Shape,2,na,Driving carelessly,Slight Injury
407,31-50,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,Female,No distancing,Slight Injury
408,Over 51,Male,Junior high school,1-2yr,,Office areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
409,18-30,Unknown,Junior high school,2-5yr,,Residential areas,No junction,1,na,No priority to vehicle,Slight Injury
